source_id,verified,model_id,release_date,benchmark_name,is_sota,average_score,p50_horizon_minutes,p50_ci_low,p50_ci_high,p80_horizon_minutes,p80_ci_low,p80_ci_high
LEG1_METR_AUTONOMY_2024,true,gpt2,2019-02-14,METR-Horizon-v1.0,True,0.101046,0.053778,0.009994,0.141825,0.0128,0.001589,0.068612
LEG1_METR_AUTONOMY_2024,true,davinci_002,2020-05-28,METR-Horizon-v1.0,True,0.161869,0.144057,0.093319,0.221209,0.056238,0.034813,0.105813
LEG1_METR_AUTONOMY_2024,true,gpt_3_5_turbo_instruct,2022-03-15,METR-Horizon-v1.0,True,0.214611,0.599247,0.255148,1.115905,0.25538,0.141649,0.492933
LEG1_METR_AUTONOMY_2024,true,gpt_4,2023-03-14,METR-Horizon-v1.1,True,0.293044,3.987428,1.93292,7.995283,0.889561,0.342984,2.523746
LEG1_METR_AUTONOMY_2024,true,gpt_4_1106_inspect,2023-11-06,METR-Horizon-v1.1,True,0.28905,4.044959,1.866859,8.443226,0.783032,0.276599,2.358414
LEG1_METR_AUTONOMY_2024,true,claude_3_opus_inspect,2024-03-04,METR-Horizon-v1.1,False,0.294753,3.952262,1.706313,8.76484,0.638973,0.190491,2.118276
LEG1_METR_AUTONOMY_2024,true,gpt_4_turbo_inspect,2024-04-09,METR-Horizon-v1.1,False,0.271786,3.732787,1.980046,6.736613,0.927933,0.428277,2.196806
LEG1_METR_AUTONOMY_2024,true,gpt_4o_inspect,2024-05-13,METR-Horizon-v1.1,True,0.338424,6.991195,4.001482,12.905741,1.267009,0.562997,3.01517
LEG1_METR_AUTONOMY_2024,true,claude_3_5_sonnet_20240620_inspect,2024-06-20,METR-Horizon-v1.1,True,0.401502,11.395377,5.489734,22.384214,1.671757,0.57927,4.573519
LEG1_METR_AUTONOMY_2024,true,o1_preview,2024-09-12,METR-Horizon-v1.1,True,0.451441,20.326586,11.716193,33.379877,4.420545,2.012646,8.912444
LEG1_METR_AUTONOMY_2024,true,claude_3_5_sonnet_20241022_inspect,2024-10-22,METR-Horizon-v1.1,True,0.452356,20.522872,10.144026,40.82028,2.595677,0.89379,7.363864
LEG1_METR_AUTONOMY_2024,true,o1_inspect,2024-12-05,METR-Horizon-v1.1,True,0.510512,38.831588,21.164512,64.95249,7.090121,3.036033,16.640636
LEG1_METR_AUTONOMY_2024,true,claude_3_7_sonnet_inspect,2025-02-24,METR-Horizon-v1.1,True,0.558217,60.388937,33.006168,104.226017,12.09179,4.575608,28.889879
LEG1_METR_AUTONOMY_2024,true,o3_inspect,2025-04-16,METR-Horizon-v1.1,True,0.636235,119.732634,74.615398,190.943818,29.981603,15.127348,57.823511
LEG1_METR_AUTONOMY_2024,true,claude_4_opus_inspect,2025-05-22,METR-Horizon-v1.1,False,0.615452,100.366123,59.994073,163.454074,20.429752,8.483125,41.937268
LEG1_METR_AUTONOMY_2024,true,claude_4_1_opus_inspect,2025-08-05,METR-Horizon-v1.1,False,0.615713,100.472004,59.272391,159.451918,23.455761,10.538456,47.785951
LEG1_METR_AUTONOMY_2024,true,gpt_5_2025_08_07_inspect,2025-08-07,METR-Horizon-v1.1,True,0.693697,203.012577,112.641357,405.551565,38.312431,19.184874,70.093125
LEG1_METR_AUTONOMY_2024,true,gemini_3_pro,2025-11-18,METR-Horizon-v1.1,True,0.709822,224.325884,139.565157,379.235434,54.142849,25.650451,103.295501
LEG1_METR_AUTONOMY_2024,true,gpt_5_1_codex_max_inspect,2025-11-19,METR-Horizon-v1.1,False,0.708301,223.714694,134.31077,396.206723,50.632499,27.30204,88.365435
LEG1_METR_AUTONOMY_2024,true,claude_opus_4_5_inspect,2025-11-24,METR-Horizon-v1.1,True,0.73007,292.994594,161.717714,623.704698,49.430584,20.660485,104.641318
LEG1_METR_AUTONOMY_2024,true,gpt_5_2,2025-12-11,METR-Horizon-v1.1,True,0.752875,352.249302,198.067494,815.177445,66.002649,31.665111,131.730719
LEG1_METR_AUTONOMY_2024,true,claude_opus_4_6_inspect,2026-02-05,METR-Horizon-v1.1,True,0.788644,718.80683,316.685725,3633.786163,69.874587,27.026521,170.437873
LEG1_METR_AUTONOMY_2024,true,gpt_5_3_codex,2026-02-05,METR-Horizon-v1.1,False,0.745439,349.530732,194.913134,816.351994,54.739407,22.361504,122.058963
LEG1_METR_AUTONOMY_2024,true,gemini_3_1_pro,2026-02-19,METR-Horizon-v1.1,False,0.77035,384.147435,233.50073,694.750898,89.801503,52.025934,158.618017
LEG1_METR_AUTONOMY_2024,true,gpt_5_4,2026-03-05,METR-Horizon-v1.1,False,0.743443,341.735276,186.581591,768.779526,53.877851,23.957027,108.679232
LEG1_METR_AUTONOMY_2024,true,claude_mythos_preview_early_inspect,2026-04-07,METR-Horizon-v1.1,True,0.85205,1044.780145,508.876789,3304.261235,185.911829,97.30292,398.514614
